BuyRate,BuyQuantity,SellRate,SellQuantity
3.173e-05,6487.19559425,3.178e-05,6469.59783466
3.171e-05,58569.07267005,3.18e-05,1200.0
3.166e-05,6236.70631106,3.181e-05,95.0
3.162e-05,47755.33189554,3.182e-05,3043.09394349
3.161e-05,2050.0,3.183e-05,28669.27505694
3.16e-05,3324.76730215,3.185e-05,3663.3189988
3.157e-05,3596.32261641,3.186e-05,53.64682
3.156e-05,4484.75277162,3.187e-05,4755.1560179
3.155e-05,5016.0,3.194e-05,16856.54060597
3.154e-05,2000.0,3.195e-05,2000.0
3.153e-05,372.80759408,3.197e-05,1563.96621833
3.152e-05,43.9029751,3.198e-05,243.94564842
3.151e-05,1954.0735521,3.199e-05,225767.44574143
3.15e-05,13351.02613945,3.204e-05,250.0
3.149e-05,1777.03057002,3.206e-05,2200.92487462
3.148e-05,150.0,3.207e-05,988.31015894
3.147e-05,377.22994188,3.209e-05,75.0
3.146e-05,37576.5231231,3.21e-05,54.80310033
3.145e-05,19088.42824876,3.214e-05,15860.12055615
3.144e-05,3711.17963386,3.216e-05,31.56485948
3.143e-05,900.09913697,3.217e-05,5997.60550392
3.142e-05,5329.59945774,3.22e-05,721.82742539
3.141e-05,6442.46297616,3.221e-05,20000.0
3.14e-05,36779.05127239,3.222e-05,1133.977212
3.139e-05,15860.44349565,3.224e-05,160.48374
3.138e-05,2001.86652665,3.23e-05,15715.96590864
3.137e-05,100697.20336466,3.231e-05,5255.68181811
3.136e-05,2248.00100383,3.232e-05,260.79046643
3.135e-05,4634.58547976,3.233e-05,374.82902187
3.134e-05,3705.56297703,3.234e-05,3740.14506461
3.133e-05,56.89629349,3.235e-05,1293.19823995
3.132e-05,90.74682679,3.238e-05,32.06538824
3.131e-05,340.85897716,3.239e-05,1335.97566273
3.13e-05,4264.9164251,3.24e-05,355.02706456
3.129e-05,1025.9636745,3.241e-05,2116.48825706
3.128e-05,3375.6646875,3.242e-05,208917.4806844
3.127e-05,9288.49536297,3.243e-05,330.18867924
3.126e-05,9458.13490643,3.244e-05,206.71932465
3.125e-05,10120.3506652,3.245e-05,329.26062093
3.124e-05,4134.30971002,3.246e-05,82717.07885564
3.123e-05,40.71668572,3.247e-05,16.29124053
3.122e-05,345.68937746,3.248e-05,2944.15472406
3.121e-05,1172.82190884,3.249e-05,21066.88529173
3.12e-05,23633.12214733,3.25e-05,23822.37943065
3.118e-05,805.38422627,3.253e-05,1846.54746882
3.117e-05,1013.30775108,3.254e-05,774.57106721
3.116e-05,82860.3171189,3.255e-05,31.19151591
3.115e-05,17573.08262115,3.256e-05,266.20732851
3.114e-05,40.39776879,3.257e-05,3553.78459896
3.113e-05,28350.85204947,3.258e-05,3865.41471045
3.112e-05,3590.1778046,3.259e-05,185.43256347
3.111e-05,2564.16752171,3.26e-05,30129.59445263
3.11e-05,21085.08799369,3.261e-05,2220.13758596
3.109e-05,44555.32306529,3.262e-05,328.00498198
3.108e-05,1470.97059457,3.263e-05,147.45116823
3.107e-05,19594.39260395,3.264e-05,129.55075106
3.106e-05,500.0,3.265e-05,2634.98410196
3.105e-05,20208.0119893,3.266e-05,12521.18813568
3.104e-05,1730.82474227,3.267e-05,1473.85711033
3.103e-05,5413.41924026,3.268e-05,1380.44714828
3.102e-05,38607.99947596,3.27e-05,43.29037394
3.101e-05,24086.3082517,3.271e-05,47.22921914
3.1e-05,413378.83394651,3.272e-05,40.01425904
3.099e-05,2357.08403765,3.273e-05,1598.08982571
3.098e-05,372.80043496,3.274e-05,11694.30191604
3.097e-05,610.0,3.275e-05,3537.2827265
3.096e-05,32838.76429587,3.276e-05,111.19662669
3.095e-05,290.0,3.277e-05,310.97893433
3.094e-05,532.31521103,3.278e-05,5477.65956913
3.093e-05,94220.41848999,3.279e-05,328.87930365
3.092e-05,5071.03864651,3.28e-05,4211.22912036
3.091e-05,323.51989647,3.281e-05,2832.61892081
3.09e-05,47370.96393355,3.282e-05,1474.29468869
3.089e-05,1733.40672629,3.283e-05,639.78403125
3.088e-05,2008.89835977,3.284e-05,121.98793206
3.087e-05,83.76099787,3.285e-05,611.96319018
3.086e-05,156.14046045,3.286e-05,141.02162331
3.085e-05,14824.08654109,3.287e-05,18211.31077694
3.084e-05,3234.43579767,3.288e-05,598.9091345
3.083e-05,105.19072332,3.289e-05,1884.88563043
3.082e-05,20.0,3.29e-05,418638.74305104
3.081e-05,6400.1950855,3.291e-05,90371.57687426
3.08e-05,109235.68648605,3.293e-05,103486.55409629
3.079e-05,7748.05960701,3.294e-05,328.22757111
3.077e-05,1840.77673059,3.295e-05,2939.5587704
3.076e-05,574.38261622,3.296e-05,3136.62347742
3.075e-05,11362.62195847,3.297e-05,955.60771126
3.074e-05,279.57339882,3.298e-05,30.77369206
3.073e-05,23246.01366743,3.299e-05,1421.37847923
3.072e-05,2236.45205323,3.3e-05,75958.67590538
3.071e-05,150.0,3.303e-05,12275.39363986
3.07e-05,105065.01030414,3.304e-05,18192.71780763
3.069e-05,2000.69845802,3.305e-05,3174.2095134
3.068e-05,101.49855117,3.306e-05,31813.73778066
3.067e-05,3896.59610832,3.307e-05,21814.68744464
3.066e-05,340.37475538,3.308e-05,138.57575096
3.065e-05,114255.82963133,3.309e-05,70.95266604
3.064e-05,121.0,3.31e-05,32309.58185276
3.063e-05,19.30688867,3.311e-05,4287.01549637
3.062e-05,300.0,3.312e-05,763.61765889
